Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
67,Entry Long,Long,2021-01-28 16:00,31916.0,144.358021,868174.90,18.84,4475542.25,18.84,1302748.16,28.27,39131.82,0.85
68,Exit Short,Exit Short,2021-02-07 16:00,37951.0,144.279285,-3285.33,-0.06,4472256.93,-0.06,0,0.00,1642.66,0.03
68,Entry Short,Short,2021-02-07 16:00,37951.0,144.279285,-3285.33,-0.06,4472256.93,-0.06,0,0.00,1642.66,0.03
69,Exit Long,Short,2021-02-11 02:00,44249.5,139.236847,687055.61,12.56,5159312.54,12.56,1242161.57,22.70,52462.63,0.96
69,Entry Long,Long,2021-02-08 08:00,39290.0,139.236847,687055.61,12.56,5159312.54,12.56,1242161.57,22.70,52462.63,0.96
70,Exit Short,Exit Short,2021-02-11 02:00,44249.5,139.195089,-3695.59,-0.06,5155616.95,-0.06,0,0.00,1847.79,0.03
70,Entry Short,Short,2021-02-11 02:00,44249.5,139.195089,-3695.59,-0.06,5155616.95,-0.06,0,0.00,1847.79,0.03
71,Exit Long,Short,2021-02-13 20:00,46904.0,135.185317,183212.94,2.98,5338829.89,2.98,492729.35,8.00,18473.93,0.30
71,Entry Long,Long,2021-02-11 10:00,45521.0,135.185317,183212.94,2.98,5338829.89,2.98,492729.35,8.00,18473.93,0.30
72,Exit Short,Long,2021-02-15 17:00,48488.0,135.144773,-217936.84,-3.44,5120893.05,-3.44,159123.35,2.51,397875.83,6.27
72,Entry Short,Short,2021-02-13 20:00,46904.0,135.144773,-217936.84,-3.44,5120893.05,-3.44,159123.35,2.51,397875.83,6.27
73,Exit Long,Short,2021-02-22 10:00,54895.5,126.237885,804953.97,13.15,5925847.03,13.15,1249307.37,20.40,171941.86,2.81
73,Entry Long,Long,2021-02-15 17:00,48488.0,126.237885,804953.97,13.15,5925847.03,13.15,1249307.37,20.40,171941.86,2.81
74,Exit Short,Exit Short,2021-02-22 10:00,54895.5,126.164225,-4155.51,-0.06,5921691.52,-0.06,0,0.00,2077.75,0.03
74,Entry Short,Short,2021-02-22 10:00,54895.5,126.164225,-4155.51,-0.06,5921691.52,-0.06,0,0.00,2077.75,0.03
75,Exit Long,Short,2021-02-25 19:00,49624.0,134.66217,-241220.71,-3.48,5680470.81,-3.48,18123.44,0.26,281163.23,4.06
75,Entry Long,Long,2021-02-25 14:00,51385.0,134.66217,-241220.71,-3.48,5680470.81,-3.48,18123.44,0.26,281163.23,4.06
76,Exit Short,Long,2021-03-01 09:00,47014.0,134.621784,347459.98,5.20,6027930.79,5.20,878960.81,13.15,58006.80,0.87
76,Entry Short,Short,2021-02-25 19:00,49624.0,134.621784,347459.98,5.20,6027930.79,5.20,878960.81,13.15,58006.80,0.87
77,Exit Long,Short,2021-03-04 18:00,48595.0,149.481456,232042.65,3.30,6259973.44,3.30,836183.69,11.89,23633.65,0.34
77,Entry Long,Long,2021-03-01 09:00,47014.0,149.481456,232042.65,3.30,6259973.44,3.30,836183.69,11.89,23633.65,0.34
78,Exit Short,Long,2021-03-05 23:00,49100.0,149.397564,-79824.39,-1.10,6180149.05,-1.10,324106.29,4.46,131855.08,1.82
78,Entry Short,Short,2021-03-04 18:00,48595.0,149.397564,-79824.39,-1.10,6180149.05,-1.10,324106.29,4.46,131855.08,1.82
79,Exit Long,Short,2021-03-21 04:00,57890.0,146.236163,1280722.13,17.83,7460871.18,17.84,1875445.16,26.11,284389.85,3.96
79,Entry Long,Long,2021-03-05 23:00,49100.0,146.236163,1280722.13,17.83,7460871.18,17.84,1875445.16,26.11,284389.85,3.96
80,Exit Short,Exit Short,2021-03-21 04:00,57890.0,146.154303,-5076.52,-0.06,7455794.66,-0.06,0,0.00,2538.26,0.03
80,Entry Short,Short,2021-03-21 04:00,57890.0,146.154303,-5076.52,-0.06,7455794.66,-0.06,0,0.00,2538.26,0.03
81,Exit Long,Short,2021-03-24 21:00,54088.5,149.402332,-377270.87,-4.46,7078523.79,-4.46,82548.65,0.98,504229.01,5.96
81,Entry Long,Long,2021-03-24 12:00,56580.5,149.402332,-377270.87,-4.46,7078523.79,-4.46,82548.65,0.98,504229.01,5.96
82,Exit Short,Long,2021-03-26 18:00,53810.0,149.357525,36761.43,0.45,7115285.22,0.46,532948.49,6.60,28934.52,0.36
82,Entry Short,Short,2021-03-24 21:00,54088.5,149.357525,36761.43,0.45,7115285.22,0.46,532948.49,6.60,28934.52,0.36
83,Exit Long,Short,2021-04-06 18:00,58150.5,150.813263,649539.43,8.00,7764824.65,8.00,976343.50,12.03,55219.22,0.68
83,Entry Long,Long,2021-03-26 18:00,53810.0,150.813263,649539.43,8.00,7764824.65,8.00,976343.50,12.03,55219.22,0.68
84,Exit Short,Long,2021-04-08 19:00,57700.0,150.726582,62663.80,0.71,7827488.45,0.71,391595.93,4.47,73395.58,0.84
84,Entry Short,Short,2021-04-06 18:00,58150.5,150.726582,62663.80,0.71,7827488.45,0.71,391595.93,4.47,73395.58,0.84
85,Exit Long,Short,2021-04-16 07:00,61951.5,152.988722,644939.95,7.30,8472428.40,7.31,1105525.57,12.52,37147.19,0.42
85,Entry Long,Long,2021-04-08 19:00,57700.0,152.988722,644939.95,7.30,8472428.40,7.31,1105525.57,12.52,37147.19,0.42
86,Exit Short,Exit Short,2021-04-23 09:00,47702.6,152.900737,2173637.45,22.94,10646065.86,22.95,2175825.58,22.96,85484.58,0.90
86,Entry Short,Short,2021-04-16 07:00,61951.5,152.900737,2173637.45,22.94,10646065.86,22.95,2175825.58,22.96,85484.58,0.90
87,Exit Short,Long,2021-04-30 10:00,54497.5,216.533497,-164994.12,-1.42,10481071.74,-1.42,295539.99,2.54,188087.58,1.62
87,Entry Short,Short,2021-04-29 16:00,53768.0,216.533497,-164994.12,-1.42,10481071.74,-1.42,295539.99,2.54,188087.58,1.62
88,Exit Long,Short,2021-05-07 02:00,56400.5,210.673288,393902.29,3.43,10874974.03,3.43,944269.44,8.22,333674.73,2.91
88,Entry Long,Long,2021-04-30 10:00,54497.5,210.673288,393902.29,3.43,10874974.03,3.43,944269.44,8.22,333674.73,2.91
89,Exit Short,Long,2021-05-07 15:00,56990.5,210.547356,-131385.19,-1.11,10743588.84,-1.11,225828.85,1.90,267273.06,2.25
89,Entry Short,Short,2021-05-07 02:00,56400.5,210.547356,-131385.19,-1.11,10743588.84,-1.11,225828.85,1.90,267273.06,2.25
90,Exit Long,Short,2021-05-09 15:00,57322.0,206.063563,61243.38,0.52,10804832.22,0.52,518951.06,4.42,130355.22,1.11
90,Entry Long,Long,2021-05-07 15:00,56990.5,206.063563,61243.38,0.52,10804832.22,0.52,518951.06,4.42,130355.22,1.11
91,Exit Short,Long,2021-05-10 02:00,58877.0,205.938982,-327414.09,-2.77,10477418.13,-2.77,47325.48,0.40,323776.57,2.74
91,Entry Short,Short,2021-05-09 15:00,57322.0,205.938982,-327414.09,-2.77,10477418.13,-2.77,47325.48,0.40,323776.57,2.74
92,Exit Long,Short,2021-05-10 16:00,56965.0,194.942207,-379504.25,-3.31,10097913.88,-3.31,134770.74,1.17,376172.78,3.28
92,Entry Long,Long,2021-05-10 02:00,58877.0,194.942207,-379504.25,-3.31,10097913.88,-3.31,134770.74,1.17,376172.78,3.28
93,Exit Short,Long,2021-05-12 05:00,57732.5,194.819906,-156227.88,-1.41,9941686.00,-1.41,687014.96,6.19,337445.51,3.04
93,Entry Short,Short,2021-05-10 16:00,56965.0,194.819906,-156227.88,-1.41,9941686.00,-1.41,687014.96,6.19,337445.51,3.04
94,Exit Long,Short,2021-05-12 14:00,56383.0,189.525443,-262252.92,-2.40,9679433.07,-2.40,34053.98,0.31,316473.33,2.89
94,Entry Long,Long,2021-05-12 05:00,57732.5,189.525443,-262252.92,-2.40,9679433.07,-2.40,34053.98,0.31,316473.33,2.89
95,Exit Short,Exit Short,2021-05-17 04:00,43414.9,189.408776,2450601.17,22.94,12130034.24,22.95,2453068.12,22.96,102264.62,0.96
95,Entry Short,Short,2021-05-12 14:00,56383.0,189.408776,2450601.17,22.94,12130034.24,22.95,2453068.12,22.96,102264.62,0.96
96,Exit Long,Short,2021-05-21 07:00,39820.0,314.997334,-590603.35,-4.50,11539430.89,-4.50,34649.34,0.26,665747.23,5.07
96,Entry Long,Long,2021-05-21 02:00,41670.5,314.997334,-590603.35,-4.50,11539430.89,-4.50,34649.34,0.26,665747.23,5.07
97,Exit Short,Long,2021-05-30 22:00,36066.0,314.902863,1174976.33,9.37,12714407.22,9.37,2752110.58,21.94,591528.02,4.72
