time,open,high,low,close,Volume,EMA Curta (21),EMA Longa (55)
2020-03-30T23:00:00+01:00,6525.5,6577.5,6448.5,6462,657.925,6382.432752429369,6249.8326376843925
2020-03-31T00:00:00+01:00,6462,6473.5,6381.5,6389.5,573.932,6383.6106270244745,6254.820757767093
2020-03-31T01:00:00+01:00,6389.5,6463.5,6381.5,6437,625.467,6392.508855853729,6261.327159275411
2020-03-31T02:00:00+01:00,6437,6509.5,6437,6507,552.807,6411.590713211441,6270.101189301289
2020-03-31T03:00:00+01:00,6507,6509.5,6443,6444.5,563.721,6417.075594342868,6276.329718254815
2020-03-31T04:00:00+01:00,6444.5,6472.5,6408,6435,731.024,6420.062995285723,6281.996514031429
2020-03-31T05:00:00+01:00,6435,6449.5,6373,6391,773.471,6415.219162738103,6285.889495673164
2020-03-31T06:00:00+01:00,6391,6430.5,6375,6408.5,532.748,6414.099302281752,6290.268442256265
2020-03-31T07:00:00+01:00,6408.5,6463,6384.5,6463,570.138,6422.249418568126,6296.437426461399
2020-03-31T08:00:00+01:00,6463,6470.5,6422,6437,535.814,6424.707848806772,6301.457518373491
2020-03-31T09:00:00+01:00,6437,6497.5,6437,6488,586.416,6435.25654067231,6308.119749860152
2020-03-31T10:00:00+01:00,6488,6489.5,6417,6426.5,546.46,6433.7971172269245,6312.3476159365755
2020-03-31T11:00:00+01:00,6426.5,6436.5,6399.5,6422.5,648.327,6431.914264355771,6316.281629653126
2020-03-31T12:00:00+01:00,6422.5,6424,6339.5,6386.5,676.504,6424.345220296475,6318.7894285940865
2020-03-31T13:00:00+01:00,6386.5,6454,6323.5,6437.5,749.75,6426.537683580396,6323.029091858583
2020-03-31T14:00:00+01:00,6437.5,6477,6392,6411.5,847.505,6424.031402983664,6326.188767149348
2020-03-31T15:00:00+01:00,6411.5,6470,6411.5,6444.5,711.516,6427.44283581972,6330.414168322585
2020-03-31T16:00:00+01:00,6444.5,6494.5,6415.5,6445,924.59,6430.369029849767,6334.506519453921
2020-03-31T17:00:00+01:00,6445,6460.5,6410,6423.5,630.316,6429.2241915414725,6337.684858044852
2020-03-31T18:00:00+01:00,6423.5,6451,6397.5,6445.5,625.047,6431.93682628456,6341.535398828964
2020-03-31T19:00:00+01:00,6445.5,6479.5,6440,6451.5,714.758,6435.197355237134,6345.4627060136445
2020-03-31T20:00:00+01:00,6451.5,6464.5,6427.5,6454.5,578.234,6438.414462697611,6349.356895084586
2020-03-31T21:00:00+01:00,6454.5,6490,6443,6463,733.645,6442.512052248009,6353.415577402993
2020-03-31T22:00:00+01:00,6463,6474.5,6413,6436,618.905,6441.426710206674,6356.365021067172
2020-03-31T23:00:00+01:00,6436,6439.5,6417,6425.5,612.467,6438.772258505562,6358.8341274576305
2020-04-01T00:00:00+01:00,6425.5,6432.5,6388.5,6405,621.857,6433.143548754635,6360.482908619858
