time,open,high,low,close,Volume,EMA Curta (21),EMA Longa (55)
1585875600,6738,6804,6723.5,6798.5,682.632,6785.183865148578,6578.6528707022735
1585879200,6798.5,6825,6774,6809,533.709,6789.153220957148,6586.879553891478
1585882800,6809,6825,6771,6781,410.197,6787.794350797623,6593.812426966782
1585886400,6781,6797,6759.5,6778.5,481.658,6786.245292331353,6600.408411717969
1585890000,6778.5,6786.5,6745,6775,367.762,6784.371076942794,6606.6438255851845
1585893600,6775,6819,6763,6795,367.955,6786.142564118995,6613.370831814285
1585897200,6795,6947.5,6787,6934.5,861.526,6810.868803432496,6624.839730678061
1585900800,6934.5,6980.5,6866.5,6924,532.711,6829.724002860414,6635.524026010987
1585904400,6924,6974,6891,6959,500.269,6851.270002383678,6647.076739367737
1585908000,6959,7044,6917.5,7010,535.9,6877.725001986399,6660.038284390318
1585911600,7010,7032,6934.5,7004,394.03,6898.770834988665,6672.322631376378
1585915200,7004,7007,6856.5,6913.5,821.053,6901.225695823888,6680.936108827222
1585918800,6913.5,6937,6807,6839.5,1197.058,6890.93807985324,6686.599104940535
1585922400,6839.5,6855.5,6720,6787,535.719,6873.6150665443665,6690.184851192658
1585926000,6787,6823,6671.5,6710,1017.85,6846.345888786972,6690.892535078635
1585929600,6710,6765,6604.5,6755,756.664,6831.121573989143,6693.182087397255
1585933200,6755,6794,6669.5,6713,361.628,6811.434644990953,6693.88986999021
1585936800,6713,6750,6674.5,6747.5,228.972,6800.778870825794,6695.80451749056
1585940400,6747.5,6785,6735.5,6766,243.143,6794.982392354828,6698.311499008754
1585944000,6766,6810,6677,6692.5,425.93,6777.901993629023,6698.103945472727
1585947600,6692.5,6751.5,6666,6724,386.882,6768.918328024186,6699.028804562987
1585951200,6724,6760.5,6710.5,6760,248.097,6767.431940020155,6701.206347257166
1585954800,6760,6775.5,6718,6727.5,146.323,6760.776616683463,6702.1454062836965
1585958400,6727.5,6757.5,6712,6748.5,247.517,6758.730513902886,6703.8009274878505
